host_name,area,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Tyfoon,Yan na wa,13.71165,100.54957,Entire home/apt,1500,60,1,2017-07-21,1,363,0
Aggarat,Huai Khwang,13.77302,100.57755,Private room,1212,1,0,2020-03-20,1,365,0
Evan,Sathon,13.72062,100.54707,Entire home/apt,600,1,146,2022-11-19,37,358,3
ISanook Hotel,Bang Rak,13.73155,100.52129,Private room,3700,30,6,2019-06-30,45,330,0
ISanook Hotel,Bang Rak,13.7334,100.52328,Private room,900,30,4,2016-04-30,45,301,0
ISanook Hotel,Bang Rak,13.73391,100.52297,Private room,1500,30,6,2022-04-22,45,302,1
ISanook Hotel,Bang Rak,13.73205,100.5234,Private room,1500,30,4,2020-01-21,45,321,0
Sornkrit,Phaya Thai,13.78756,100.55304,Entire home/apt,3000,1,0,2019-09-22,1,365,0
Vincent,Huai Khwang,13.79654,100.57543,Entire home/apt,2500,2,0,2019-05-24,1,359,0
Bee,Phra Khanong,13.70488,100.60475,Entire home/apt,900,7,10,2019-01-24,1,271,0
Ome,Khlong Toei,13.72635,100.57211,Entire home/apt,2123,3,210,2022-12-14,3,294,18
Sina,Vadhana,13.70714,100.60281,Entire home/apt,2236,1,0,2019-12-12,1,365,0
Kiat,Phra Khanong,13.69011,100.60844,Entire home/apt,2275,7,12,2016-12-10,1,98,0
Evan,Sathon,13.72065,100.54713,Entire home/apt,736,1,120,2022-12-06,37,321,1
ISanook Hotel,Bang Rak,13.73386,100.52322,Private room,2100,30,0,2020-07-13,45,217,0
ISanook Hotel,Bang Rak,13.73227,100.52112,Private room,2743,30,3,2018-02-18,45,341,0
ISanook Hotel,Bang Rak,13.7319,100.52202,Private room,1900,30,10,2022-11-20,45,323,1
GrongGaew,Suanluang,13.7141,100.64207,Entire home/apt,1004,3,0,2022-09-17,4,90,0
Nantiruj,Khlong Toei,13.73833,100.55635,Private room,1347,2,40,2022-07-15,5,330,1
Darawan,Chatu Chak,13.81674,100.56603,Private room,1200,30,0,2020-05-04,1,363,0
Siamaze,Din Daeng,13.78653,100.56912,Private room,2000,1,23,2018-02-22,8,90,0
Nantiruj,Khlong Toei,13.73892,100.55673,Entire home/apt,1850,2,6,2020-01-05,5,330,0
Tesue,Vadhana,13.70992,100.59918,Shared room,712,2,1,2018-08-01,1,355,0
Tatiya,Chatu Chak,13.84279,100.56287,Entire home/apt,2236,2,215,2022-12-20,13,325,29
Add,Vadhana,13.73767,100.58381,Entire home/apt,1712,2,41,2022-12-01,1,333,1
ISanook Hotel,Bang Rak,13.73217,100.52297,Private room,2743,30,1,2014-03-24,45,341,0
ISanook Hotel,Bang Rak,13.73352,100.52143,Private room,2686,30,2,2017-03-06,45,341,0
Thanapat,Bang Na,13.65487,100.64337,Private room,1732,15,1,2014-07-09,1,365,0
Siamaze,Din Daeng,13.7863,100.57026,Private room,943,1,5,2022-11-26,8,357,2
ISanook Hotel,Bang Rak,13.73418,100.5226,Private room,1957,30,3,2022-06-07,45,341,1
Natty,Bang Sue,13.83165,100.52765,Private room,418,2,0,2019-11-05,1,365,0
Peak,Khlong San,13.72075,100.50354,Entire home/apt,2226,365,39,2017-04-04,3,1,0
Yair,Suanluang,13.72376,100.61804,Entire home/apt,1974,10,6,2019-02-04,10,365,0
Tan,Bang Rak,13.73232,100.52657,Entire home/apt,2701,1,239,2021-02-26,8,346,0
Krittiya,Bang Na,13.66352,100.64885,Entire home/apt,950,3,23,2022-12-14,13,260,4
Prare,Saphan Sung,13.73667,100.69141,Entire home/apt,10355,1,0,2022-09-02,1,365,0
Krittiya,Bang Na,13.66375,100.64965,Entire home/apt,950,30,41,2022-05-23,13,245,2
Warut,Vadhana,13.70811,100.60112,Shared room,400,1,4,2018-09-07,1,365,0
Poo,Khan Na Yao,13.81891,100.66408,Entire home/apt,1300,360,37,2022-04-25,2,83,1
